"Game","Year","Genre","Publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","log_na_sales","log_eu_sales","log_jp_sales","log_other_sales","log_global_sales"
"Mafia III","2016","Action-Adventure","2K Games",0.72,1.67,0.04,0.44,2.87,0.542324290825362,0.982078472412158,0.0392207131532813,0.364643113587909,1.35325450704169
"Diablo III","2014","Role-Playing","Blizzard Entertainment",0.83,1.48,0.08,0.44,2.82,0.60431596685333,0.908258560176891,0.0769610411361284,0.364643113587909,1.34025042261848
"Far Cry: Primal","2016","Action-Adventure","Ubisoft",0.63,1.61,0.07,0.41,2.73,0.488580014818671,0.959350221334602,0.0676586484738149,0.343589704390077,1.31640823365572
"Need for Speed (2015)","2015","Racing","Electronic Arts",0.59,1.66,0.06,0.41,2.72,0.46373401623214,0.978326122793608,0.0582689081239758,0.343589704390077,1.31372366828506
"Madden NFL 18","2017","Sports","EA Sports",1.73,0.42,0,0.47,2.62,1.00430160919687,0.350656871613169,0,0.385262400790645,1.28647402583768
"NBA 2K15","2014","Sports","2K Sports",1.49,0.55,0.01,0.44,2.49,0.912282710476616,0.438254930931155,0.00995033085316809,0.364643113587909,1.24990173621434
"Dying Light","2015","Action","Warner Bros. Interactive",1.18,0.74,0.13,0.4,2.45,0.779324876800997,0.553885113226438,0.122217632724249,0.336472236621213,1.23837423104327
"Dark Souls III","2016","Role-Playing","Namco Bandai Games",1,0.63,0.44,0.34,2.42,0.693147180559945,0.488580014818671,0.364643113587909,0.29266961396282,1.22964055107451
"Ratchet & Clank (2016)","2016","Platform","Sony Interactive Entertainment",0.97,0.97,0.06,0.39,2.38,0.678033542749897,0.678033542749897,0.0582689081239758,0.3293037471426,1.21787570949493
"DriveClub","2014","Racing","Sony Computer Entertainment",0.37,1.63,0.02,0.36,2.37,0.314810739840034,0.966983846189673,0.0198026272961797,0.307484699747961,1.21491274436427
"Uncharted: The Lost Legacy","2017","Action","Sony Interactive Entertainment",0.58,1.38,0.04,0.36,2.37,0.457424847038875,0.867100487683383,0.0392207131532813,0.307484699747961,1.21491274436427
"Dragon Age III: Inquisition","2014","Role-Playing","Electronic Arts",1.07,0.8,0.08,0.38,2.34,0.727548607277278,0.587786664902119,0.0769610411361284,0.322083499169113,1.20597080698861
"No Man's Sky","2016","Action-Adventure","Hello Games",0.89,0.97,0.04,0.37,2.26,0.636576829071551,0.678033542749897,0.0392207131532813,0.314810739840034,1.18172719537862
"Madden NFL 15","2014","Sports","EA Sports",1.58,0.25,0,0.41,2.25,0.947789398933526,0.22314355131421,0,0.343589704390077,1.17865499634165
"Need for Speed: Payback","2017","Racing","Electronic Arts",0.62,1.18,0.04,0.34,2.18,0.482426149244293,0.779324876800997,0.0392207131532813,0.29266961396282,1.15688119679209
"Destiny: The Taken King","2015","Shooter","Activision",0.97,0.8,0.05,0.36,2.18,0.678033542749897,0.587786664902119,0.048790164169432,0.307484699747961,1.15688119679209
"Need for Speed Rivals","2013","Racing","Electronic Arts",0.75,1.04,0.03,0.35,2.17,0.559615787935423,0.712949807856125,0.0295588022415444,0.300104592450338,1.15373158788919
"PlayStation VR Worlds","2016","Misc","Sony Interactive Entertainment",0.36,1.4,0.09,0.32,2.16,0.307484699747961,0.8754687373539,0.0861776962410524,0.27763173659828,1.15057202759882
"Battlefield: Hardline","2015","Shooter","Electronic Arts",0.72,0.97,0.14,0.33,2.15,0.542324290825362,0.678033542749897,0.131028262406404,0.285178942233662,1.14740245283754
"Rise of the Tomb Raider","2016","Adventure","Square Enix",0.61,1.08,0.05,0.32,2.07,0.476234178996372,0.732367893713227,0.048790164169432,0.27763173659828,1.12167756159911
"LittleBigPlanet 3","2014","Platform","Sony Computer Entertainment",0.78,0.93,0.01,0.34,2.06,0.576613364303994,0.657520002916794,0.00995033085316809,0.29266961396282,1.11841491596429
"The Elder Scrolls Online","2015","MMO","Bethesda Softworks",0.74,0.98,0,0.33,2.05,0.553885113226438,0.683096844706444,0,0.285178942233662,1.11514159061932
"Middle-Earth: Shadow of War","2017","Action","Warner Bros. Interactive Entertainment",0.82,0.84,0.06,0.33,2.04,0.598836501088704,0.609765571620894,0.0582689081239758,0.285178942233662,1.11185751541813
"Dragon Quest XI","2017","Role-Playing","Square Enix",0.29,0.22,1.43,0.1,2.04,0.254642218373581,0.198850858745165,0.887891257352457,0.0953101798043249,1.11185751541813
"Rocket League","2016","Sports","505 Games",0.37,1.34,0,0.31,2.02,0.314810739840034,0.85015092936961,0,0.27002713721306,1.10525683138678
"Just Cause 3","2015","Action-Adventure","Square Enix",0.53,1.07,0.09,0.3,1.98,0.425267735404344,0.727548607277278,0.0861776962410524,0.262364264467491,1.09192330051731
"Dishonored 2","2016","Action","Bethesda Softworks",0.62,1.02,0.01,0.31,1.97,0.482426149244293,0.703097511413113,0.00995033085316809,0.27002713721306,1.08856195281461
"Lego Marvel Super Heroes","2013","Action","Warner Bros. Interactive Entertainment",0.59,1,0.01,0.3,1.91,0.46373401623214,0.693147180559945,0.00995033085316809,0.262364264467491,1.0681530811834
"Until Dawn","2015","Adventure","Sony Computer Entertainment",0.62,0.92,0.06,0.3,1.9,0.482426149244293,0.65232518603969,0.0582689081239758,0.262364264467491,1.06471073699243
"Knack","2013","Platform","Sony Computer Entertainment",0.45,0.77,0.42,0.23,1.88,0.371563556432483,0.570979546585738,0.350656871613169,0.207014169384326,1.05779029414785
"The Evil Within","2014","Action","Bethesda Softworks",0.56,0.9,0.11,0.28,1.86,0.444685821261446,0.641853886172395,0.104360015324243,0.246860077931526,1.05082162483176
"The Crew","2014","Racing","Ubisoft",0.44,1.04,0.03,0.27,1.79,0.364643113587909,0.712949807856125,0.0295588022415444,0.2390169004705,1.02604159583327
"Kingdom Hearts 1.5 + 2.5 Remix","2017","Role-Playing","Square Enix",0.75,0.51,0.23,0.26,1.75,0.559615787935423,0.412109650826833,0.207014169384326,0.231111720963387,1.01160091167848
"For Honor","2017","Action","Ubisoft",0.73,0.66,0.07,0.28,1.75,0.548121408509688,0.506817602368452,0.0676586484738149,0.246860077931526,1.01160091167848
"Titanfall 2","2016","Shooter","Electronic Arts",0.75,0.62,0.06,0.28,1.72,0.559615787935423,0.482426149244293,0.0582689081239758,0.246860077931526,1.00063188030791
"Injustice 2","2017","Fighting","Warner Bros. Interactive Entertainment",0.88,0.54,0,0.29,1.72,0.631271776841858,0.431782416425538,0,0.254642218373581,1.00063188030791
"NieR Automata","2017","Role-Playing","Square Enix",0.56,0.51,0.42,0.22,1.71,0.444685821261446,0.412109650826833,0.350656871613169,0.198850858745165,0.99694863489161
"Tekken 7","2017","Fighting","Namco Bandai Games",0.6,0.72,0.12,0.26,1.7,0.470003629245736,0.542324290825362,0.113328685307003,0.231111720963387,0.993251773010283
"Persona 5","2016","Role-Playing","Deep Silver",0.62,0.34,0.48,0.2,1.64,0.482426149244293,0.29266961396282,0.392042087776024,0.182321556793955,0.970778917158225
"The Order: 1886","2015","Shooter","Sony Computer Entertainment",0.44,0.86,0.07,0.25,1.62,0.364643113587909,0.62057648772511,0.0676586484738149,0.22314355131421,0.963174317773006
"Wolfenstein: The New Order","2014","Shooter","Bethesda Softworks",0.48,0.84,0.03,0.25,1.61,0.392042087776024,0.609765571620894,0.0295588022415444,0.22314355131421,0.959350221334602
"Detroit: Become Human","2018","Adventure","Sony Interactive Entertainment",0.55,0.67,0.12,0.24,1.57,0.438254930931155,0.512823626428664,0.113328685307003,0.215111379616945,0.943905898907129
"Naruto Shippuden: Ultimate Ninja Storm 4","2016","Fighting","Namco Bandai Games",0.71,0.47,0.12,0.24,1.54,0.536493370514568,0.385262400790645,0.113328685307003,0.215111379616945,0.932164081030445
"NBA 2K14","2013","Sports","2K Sports",0.91,0.35,0.01,0.27,1.54,0.647103242058539,0.300104592450338,0.00995033085316809,0.2390169004705,0.932164081030445
"Tomb Raider (2013)","2014","Action-Adventure","Square Enix",0.47,0.74,0.06,0.23,1.51,0.385262400790645,0.553885113226438,0.0582689081239758,0.207014169384326,0.920282753143692
"Dragon Ball: Xenoverse 2","2016","Action","Namco Bandai Games",0.54,0.59,0.14,0.23,1.5,0.431782416425538,0.46373401623214,0.131028262406404,0.207014169384326,0.916290731874155
"Rayman Legends","2014","Platform","Ubisoft",0.22,1.05,0,0.23,1.5,0.198850858745165,0.717839793150317,0,0.207014169384326,0.916290731874155
"Mass Effect: Andromeda","2017","Role-Playing","Electronic Arts",0.58,0.67,0,0.25,1.49,0.457424847038875,0.512823626428664,0,0.22314355131421,0.912282710476616
